NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1999_01_15_a209_seg8_s6;39;;;x;;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1999_01_16_a115_seg32_s4;14;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_06_05_a149_seg3_s21;2;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_06_09_a206_seg1_s8;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_06_26_a242_seg11_s16;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_05_08_a245_seg9_s1;12;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_05_19_a129_seg4_s11;2;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1999_05_22_a100_seg6_s4;5;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1999_11_01_a157_seg4_s3;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_11_09_a35_seg10_s1;8;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1999_11_17_a154_seg1_s8;16;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_11_20_a78_seg1_s14;10;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_11_24_a87_seg6_s9;30;;;x;;;;;;;;;;;;;;;inanim;;;;;;generic EXP
NZZ_1999_10_12_a219_seg9_s8;8;;;;x;;;;;;;;;;;;;;inanim;;;;;;wollen
NZZ_1999_10_27_a191_seg8_s1;2;;;x;;;;;;;;;;;;;;;propositional;;;;EXP_anim_proxy;;wollen
NZZ_1999_10_28_a30_seg1_s26;7;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_09_01_a158_seg3_s14;5;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_09_09_a144_seg3_s48;13;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_09_13_a55_seg7_s5;15;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_09_17_a143_seg3_s6;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_09_27_a40_seg4_s8;2;;;x;;;;;;;;;;;;;;;propositional;;;;;;wollen
